city,state_id,population
Fountain Valley,CA,55357.0
Dearborn Heights,MI,55353.0
Grapevine,TX,55281.0
Fond du Lac,WI,55209.0
Ithaca,NY,55137.0
Apple Valley,MN,55135.0
Chicopee,MA,55126.0
Wesley Chapel,FL,55046.0
Oak Lawn,IL,55022.0
Cathedral City,CA,55007.0
Hacienda Heights,CA,54970.0
Delano,CA,54917.0
Bentonville,AR,54909.0
Stonecrest,GA,54903.0
Kettering,OH,54855.0
Colton,CA,54824.0
Kingston,NY,54791.0
West Haven,CT,54620.0
St. Cloud,FL,54579.0
Normal,IL,54469.0
Berwyn,IL,54391.0
Union,NY,54250.0
Wayne,NJ,54190.0
Arroyo Grande,CA,54177.0
Minnetonka,MN,54064.0
Rosemead,CA,54058.0
Milford,CT,54047.0
Irvington,NJ,54035.0
Paramount,CA,53955.0
Yucaipa,CA,53921.0
Brunswick,GA,53914.0
Williamsport,PA,53861.0
Bristol,PA,53803.0
Elyria,OH,53757.0
Leesburg,VA,53727.0
Millcreek Township,PA,53722.0
Mount Prospect,IL,53719.0
Pinellas Park,FL,53637.0
Bellevue,NE,53544.0
West Sacramento,CA,53519.0
Apopka,FL,53447.0
Lewiston,ID,53384.0
Grand Island,NE,53296.0
Palm Desert,CA,53275.0
Milford city ,CT,53195.0
Watertown,NY,53163.0
Little Elm,TX,53126.0
Chambersburg,PA,53083.0
Revere,MA,53073.0
Peabody,MA,53070.0
Wylie,TX,53067.0
Beaufort,SC,53051.0
DeSoto,TX,52988.0
Helena,MT,52936.0
Edina,MN,52857.0
Aspen Hill,MD,52807.0
